Run;Vega_MC;Vega_Antithetic
265;0.00721876;-4.68376e-06
266;-0.0118823;-0.0010323
267;0.00854898;-0.548689
268;0.00795628;-0.0172844
269;0;-0.00396208
270;-0.00152596;0
271;-0.00105852;-0.0862152
272;-0.00112887;-0.00801398
273;-0.259214;-0.00934198
274;-0.00041565;-0.00730351
275;0.00142873;-0.00067165
276;-0.0192358;-0.0403443
277;-0.000239551;-0.00184824
278;-0.267101;-0.00525431
279;-0.00656546;-0.000353624
280;-0.0103305;-0.00302519
281;-1.96369;-0.000604319
282;0.00578474;-0.0428113
283;0.0496372;-0.00228208
284;-0.00684763;-0.0100842
285;-0.00200242;-0.00814413
286;-0.00324705;-0.000369431
287;0.119966;-0.00371393
288;-0.00955498;-0.000185559
289;0.00293417;-0.00553784
290;-0.00846778;-0.000126418
291;-0.0362645;-0.112728
292;-0.00650608;-0.381525
293;0.00738113;-0.0014986
294;-0.00155165;-56.1939
295;0;-0.000357224
296;-0.00384024;-0.000220541
297;-44.2725;-0.00280437
298;-0.00223648;0
299;0.000560629;-0.00685855
300;0.000266737;-0.00633608
301;-0.0264261;-0.00965004
302;-0.077074;-8.28664e-06
303;-4.23955;-0.00225108
304;0.01505;0
305;0.0370146;-0.00100288
306;0.00187061;-0.000391061
307;-0.00951128;-0.00347804
308;0.00560765;-0.00112243
309;-0.410238;-0.00450159
310;-0.0298584;-0.0156776
311;0.0784842;-0.0496093
312;0.161463;-0.0410042
313;-0.0129105;-0.0374231
314;0.00134796;-0.00068391
315;0.0101852;-0.000480987
316;-0.003598;-0.00512457
317;-0.35452;-0.000296659
318;-0.0116106;-0.00410402
319;-0.0106089;-0.00753051
320;-0.0585271;-0.00770272
321;-0.000517896;-0.0077567
322;-5.30272;-0.00976621
323;-0.00982584;-0.0267059
324;-0.0106604;-0.00172931
325;-0.00445482;-0.0105318
326;0.00305215;0
327;-0.017655;0
328;-0.0134037;-0.0149671
329;0.0052763;-0.00626687
330;-0.0136122;-0.01389
331;0.00190056;-0.00120321
332;-0.0235128;-0.00115838
333;0.131272;-0.0141707
334;-0.00268047;-0.00875698
335;-0.0158076;-0.00991515
336;0;-0.00401347
337;-9.28378;-0.00161209
338;-0.0246966;-0.018216
339;-0.0500542;-0.0217171
340;0.0608581;-0.00836581
341;-0.00387862;-0.0084681
342;-0.00278948;-0.999103
343;-0.0432431;-0.000592743
344;-0.0158602;-0.0270333
345;-0.0892855;-1.54694e-05
346;0.030416;-0.00789961
347;-1.55305;-0.0294865
348;-0.00759127;-0.0141665
349;0.00237946;-0.000586042
350;-0.00334704;-0.0067502
351;-0.00733197;-0.00757016
352;-0.0307032;-0.000340269
353;-2.83015;-0.0381472
354;-0.0216368;-0.0237094
355;-0.000547492;-0.103936
356;0.000950494;-0.000464427
357;-4.47941e-05;-0.00204133
358;0.0571002;-0.00384477
359;-0.0634722;-0.00849018
360;-0.00310793;-0.00244086
361;-0.163151;-0.0136244
362;-0.250048;0
363;-0.00551316;-0.00277019
364;-0.00523338;-0.000564263
365;-0.00548602;-2.12703
366;-0.00204016;-0.59296
367;-0.00493072;-0.00110303
368;-0.00526646;-0.00183764
369;-0.00271874;-0.00466089
370;-0.00494813;-0.00867354
371;-8.94556e-05;-0.00609977
372;-0.000187817;-0.00116328
373;0.915576;-0.00128632
374;0.0885235;-0.000644166
375;0.0880244;-0.00256095
376;-0.00333521;-0.00362085
377;-0.00139321;-0.00702338
378;-0.000880374;-0.0906228
379;-0.00349159;-0.00964461
380;-0.00916534;-0.00917599
381;0.00234195;-0.000491097
382;-0.00569401;-0.0134175
383;0.0255799;-0.00052405
384;0.00816499;-0.00118328
385;-0.00194709;-0.00118677
386;-0.00498335;-0.0178603
387;0.000524008;-0.00375353
388;-0.0238106;-0.0944885
389;0.000858931;-0.00583428
390;-0.0114786;-0.00429537
391;-3.29308;-0.0136314
392;-0.00103492;-0.00478348
393;0.00105555;-0.00114402
394;-0.00185912;-0.00361681
395;-0.0119064;-0.0104435
396;-0.111439;-0.00415955
397;-0.0139399;-0.00523899
398;-0.0149229;-1.62511
399;-0.0522131;-0.0523895
400;-0.00499184;0
401;0.00017956;-0.00194971
402;-0.0922442;-5.20406e-05
403;-0.0782866;-0.00843377
404;0.00636871;0
405;0.0037927;-0.0485298
406;-0.00250854;-0.00335575
407;-6.45029e-05;-0.282677
408;0.000861849;-0.0148583
409;-0.0143416;-0.00287446
410;-0.00590218;-0.00166094
411;1.50331;-0.0272826
412;0;-0.000932614
413;0.0311634;-0.00293758
414;-0.0118066;-8.67592e-05
415;-0.00415093;-0.00217979
416;-0.0315264;-0.000848787
417;0.00142762;-0.00156695
418;-0.00105398;-0.0116057
419;-0.0673072;-0.983141
420;0.00761826;-0.00092761
421;-0.0533498;-0.00397506
422;-0.139436;-0.0118634
423;-0.0305084;-0.00531896
424;-0.0289101;-0.0116392
425;0.0620209;-0.038749
426;-0.00702634;-0.238926
427;0.000510028;-0.0527904
428;0.0102775;-0.249232
429;-0.000612839;-0.000383213
430;-0.00767536;0
431;14.2364;-0.0031012
432;-0.0029147;-0.000538782
433;0.116263;-0.00169584
434;-0.015205;-0.0462869
435;0.000983018;-0.00352114
436;0.000600863;-0.0167852
437;0.0318822;-0.0438552
438;0.00537838;-0.102999
439;3.24084e-05;-0.00750232
440;0.00173381;-2.90229
441;0.00455498;-0.000345391
442;-0.00106614;-0.110932
443;-0.00340093;-0.00322767
444;-0.022747;-0.00684594
445;-0.15775;-0.00617535
446;-0.0182153;-0.00545446
447;0.00345491;-0.00117034
448;-0.000815084;-0.0143421
449;-0.0272399;-0.00380398
450;-0.00264714;-0.0076834
451;0.046138;-0.00132925
452;-0.006075;-0.00191801
453;-0.0118788;-0.29579
454;-0.00199517;-0.60829
455;0.00103944;-0.000545107
456;2.44119;-0.00440763
457;0.00295248;-0.0040528
458;0.00405956;-0.00470579
459;-0.00297566;-0.00351303
460;-0.515606;-0.00216031
461;-1.64556;-0.000345421
462;0.269312;0
463;0.0187828;-0.00442238
464;-0.00204249;-0.000402189
465;-0.00244599;-0.0192416
466;-0.0677315;0
