Run;Delta_MC;Delta_Antithetic
466;0.647768;0.635008
467;0.638608;0.63591
468;0.640587;0.637638
469;0.642053;0.637597
470;0.639736;0.636488
471;0.632133;0.637854
472;0.640999;0.639095
473;0.636536;0.637053
474;0.639588;0.635151
475;0.633631;0.638954
476;0.634969;0.636718
477;0.635087;0.633754
478;0.633551;0.639334
479;0.630799;0.635467
480;0.639837;0.634762
481;0.640647;0.637017
482;0.63757;0.637896
483;0.63906;0.636636
484;0.640259;0.636528
485;0.634814;0.636879
486;0.63622;0.635654
487;0.633279;0.634788
488;0.63699;0.636662
489;0.639915;0.634478
490;0.635984;0.635861
491;0.633468;0.633948
492;0.635435;0.638742
493;0.637184;0.635643
494;0.635572;0.637985
495;0.629156;0.634108
496;0.639512;0.639083
497;0.63488;0.638129
498;0.636789;0.637894
499;0.636007;0.636974
