nSimulations;Vega_MC;Vega_BS;Relative_Error
246000;-0.129295;37.524;1.00345
247000;-0.0841146;37.524;1.00224
248000;-0.0809119;37.524;1.00216
249000;0.403072;37.524;0.989258
250000;-0.00805087;37.524;1.00021
251000;-0.114128;37.524;1.00304
252000;-0.000897995;37.524;1.00002
253000;0.00551801;37.524;0.999853
254000;-0.0544498;37.524;1.00145
255000;-0.19047;37.524;1.00508
256000;-0.289967;37.524;1.00773
257000;-0.0260399;37.524;1.00069
258000;-0.0324131;37.524;1.00086
259000;-0.270959;37.524;1.00722
260000;0.00808289;37.524;0.999785
261000;-0.0214136;37.524;1.00057
262000;-0.263832;37.524;1.00703
263000;0.00501141;37.524;0.999866
264000;-0.0260845;37.524;1.0007
265000;-0.0190292;37.524;1.00051
266000;-0.0885333;37.524;1.00236
267000;-0.0155594;37.524;1.00041
268000;0.0255637;37.524;0.999319
269000;-0.014419;37.524;1.00038
270000;-0.145392;37.524;1.00387
271000;-0.197827;37.524;1.00527
272000;-0.0575493;37.524;1.00153
273000;-0.00118472;37.524;1.00003
274000;0.0117617;37.524;0.999687
275000;-1.38179;37.524;1.03682
276000;0.0173246;37.524;0.999538
277000;-0.00641375;37.524;1.00017
278000;-0.325494;37.524;1.00867
279000;0.0748982;37.524;0.998004
280000;0.0216811;37.524;0.999422
281000;-0.0390837;37.524;1.00104
282000;-0.00336678;37.524;1.00009
283000;-0.0383321;37.524;1.00102
284000;-0.0049485;37.524;1.00013
285000;0.13166;37.524;0.996491
286000;-0.0226522;37.524;1.0006
287000;-0.0317327;37.524;1.00085
288000;-0.00186946;37.524;1.00005
289000;-0.0166002;37.524;1.00044
290000;0.00569979;37.524;0.999848
291000;-0.474269;37.524;1.01264
292000;-0.0192513;37.524;1.00051
293000;0.0358174;37.524;0.999045
294000;-0.0288859;37.524;1.00077
295000;-0.00368883;37.524;1.0001
296000;-0.00814425;37.524;1.00022
297000;0.000613607;37.524;0.999984
298000;-0.0080046;37.524;1.00021
299000;-0.0962936;37.524;1.00257
300000;-0.0252774;37.524;1.00067
301000;0.00636555;37.524;0.99983
302000;-0.00802247;37.524;1.00021
303000;0.00188183;37.524;0.99995
304000;0.0807327;37.524;0.997849
305000;0.00130191;37.524;0.999965
306000;0.16007;37.524;0.995734
307000;-0.246769;37.524;1.00658
308000;-0.0645952;37.524;1.00172
309000;-0.0722917;37.524;1.00193
310000;-0.0171326;37.524;1.00046
311000;0.00574565;37.524;0.999847
312000;-0.104776;37.524;1.00279
313000;-0.0277692;37.524;1.00074
314000;-0.063664;37.524;1.0017
315000;-0.0221651;37.524;1.00059
316000;0.00430508;37.524;0.999885
317000;-0.0288879;37.524;1.00077
318000;-0.0120848;37.524;1.00032
319000;-0.0524477;37.524;1.0014
320000;-0.00131182;37.524;1.00003
321000;-0.164034;37.524;1.00437
322000;0.0555618;37.524;0.998519
323000;11.6984;37.524;0.688242
324000;-0.456662;37.524;1.01217
325000;-0.00738867;37.524;1.0002
326000;-0.108041;37.524;1.00288
327000;-0.0410498;37.524;1.00109
328000;-2.57434;37.524;1.06861
329000;-0.0792077;37.524;1.00211
330000;-0.0316858;37.524;1.00084
331000;-0.0307525;37.524;1.00082
332000;-0.00298025;37.524;1.00008
333000;-0.0108334;37.524;1.00029
334000;0.0277111;37.524;0.999262
335000;-0.00905746;37.524;1.00024
336000;-0.0250316;37.524;1.00067
337000;-0.0827579;37.524;1.00221
338000;0.919748;37.524;0.975489
339000;-0.0959824;37.524;1.00256
340000;-0.00997457;37.524;1.00027
341000;-0.0502128;37.524;1.00134
342000;2.63956;37.524;0.929657
343000;-0.0991302;37.524;1.00264
344000;-0.0783766;37.524;1.00209
345000;-0.0345734;37.524;1.00092
346000;-0.0103018;37.524;1.00027
347000;-0.0348201;37.524;1.00093
348000;-0.0224868;37.524;1.0006
349000;-0.123693;37.524;1.0033
350000;-2.45844;37.524;1.06552
351000;-0.0120265;37.524;1.00032
352000;0.00558074;37.524;0.999851
353000;-0.014731;37.524;1.00039
354000;-0.172162;37.524;1.00459
355000;3.17945;37.524;0.915269
356000;-0.0296161;37.524;1.00079
357000;-0.0219262;37.524;1.00058
358000;-0.0924566;37.524;1.00246
359000;-0.02038;37.524;1.00054
360000;-0.0200189;37.524;1.00053
361000;-0.0123683;37.524;1.00033
362000;0.00389983;37.524;0.999896
363000;-0.0352334;37.524;1.00094
364000;0.00896191;37.524;0.999761
365000;-0.171361;37.524;1.00457
366000;0.0277709;37.524;0.99926
367000;-0.0633996;37.524;1.00169
368000;0.186646;37.524;0.995026
369000;-0.0306228;37.524;1.00082
370000;-0.0112455;37.524;1.0003
371000;-0.0136527;37.524;1.00036
372000;-0.00447774;37.524;1.00012
373000;-0.19028;37.524;1.00507
374000;-0.0115346;37.524;1.00031
375000;-0.0235854;37.524;1.00063
376000;-0.128119;37.524;1.00341
377000;-0.00443033;37.524;1.00012
378000;-0.00341034;37.524;1.00009
379000;-0.125675;37.524;1.00335
380000;0.011265;37.524;0.9997
381000;-0.0912668;37.524;1.00243
382000;1.10172;37.524;0.97064
383000;-8.12685;37.524;1.21658
384000;0.0917525;37.524;0.997555
385000;-0.0140873;37.524;1.00038
386000;-1.86354;37.524;1.04966
387000;9.46114;37.524;0.747865
388000;-0.169274;37.524;1.00451
389000;-0.00261372;37.524;1.00007
390000;-0.0190021;37.524;1.00051
391000;-0.303437;37.524;1.00809
392000;0.577865;37.524;0.9846
393000;-0.0412359;37.524;1.0011
394000;-0.0150944;37.524;1.0004
395000;-0.0253433;37.524;1.00068
396000;0.0233275;37.524;0.999378
397000;-0.0737997;37.524;1.00197
398000;-0.377703;37.524;1.01007
399000;-0.0157102;37.524;1.00042
400000;0.89345;37.524;0.97619
401000;-0.0591915;37.524;1.00158
402000;-0.016704;37.524;1.00045
403000;-0.0319491;37.524;1.00085
404000;-0.0214019;37.524;1.00057
405000;0.011335;37.524;0.999698
406000;-0.370387;37.524;1.00987
407000;-0.419488;37.524;1.01118
408000;-0.332764;37.524;1.00887
409000;-0.0510715;37.524;1.00136
410000;-0.0929213;37.524;1.00248
411000;0.0215151;37.524;0.999427
412000;0.0419943;37.524;0.998881
413000;-0.185148;37.524;1.00493
414000;-0.0479135;37.524;1.00128
415000;-0.0302682;37.524;1.00081
416000;0.0154871;37.524;0.999587
417000;-0.0164738;37.524;1.00044
418000;-0.00322622;37.524;1.00009
419000;-0.0821334;37.524;1.00219
420000;-0.0238411;37.524;1.00064
421000;-0.231511;37.524;1.00617
422000;0.263811;37.524;0.99297
423000;-0.0656699;37.524;1.00175
424000;-0.489629;37.524;1.01305
425000;11.3124;37.524;0.698529
426000;-0.0776714;37.524;1.00207
427000;-0.0146174;37.524;1.00039
428000;-0.00815053;37.524;1.00022
429000;-0.0431211;37.524;1.00115
430000;0.00432021;37.524;0.999885
431000;-0.0353379;37.524;1.00094
432000;-1.04443;37.524;1.02783
433000;0.556861;37.524;0.98516
434000;-0.000724866;37.524;1.00002
435000;0.000768134;37.524;0.99998
436000;-0.0994212;37.524;1.00265
437000;-0.0317005;37.524;1.00084
438000;-0.022821;37.524;1.00061
