Run;Delta_PW;Delta_PW_Ant;Delta_PW_Ant_CV
268;0.587264;0.591058;5.22781
269;0.593889;0.590626;5.22656
270;0.593868;0.590558;5.22714
271;0.595141;0.588435;5.21966
272;0.587389;0.589369;5.21869
273;0.587761;0.589315;5.22834
274;0.590054;0.590934;5.21959
275;0.590702;0.591014;5.24066
276;0.583636;0.591033;5.22258
277;0.590653;0.588495;5.20887
278;0.589419;0.590408;5.23578
279;0.587963;0.59074;5.21384
280;0.592773;0.588204;5.21622
281;0.584986;0.591238;5.22675
282;0.586514;0.588401;5.22907
283;0.59165;0.588478;5.22583
284;0.583365;0.590202;5.22471
285;0.596371;0.589873;5.23035
286;0.591974;0.589495;5.21627
287;0.595875;0.591667;5.22796
288;0.592326;0.588436;5.22182
289;0.592902;0.590075;5.20244
290;0.592145;0.589788;5.22945
291;0.588132;0.589871;5.22711
292;0.582372;0.589899;5.21913
293;0.588821;0.591565;5.23065
294;0.593425;0.590169;5.21395
295;0.590335;0.590895;5.22413
296;0.589125;0.589835;5.22273
297;0.593396;0.589747;5.23537
298;0.592543;0.59099;5.23222
299;0.59279;0.589198;5.2189
300;0.585873;0.591102;5.2342
301;0.593395;0.588359;5.21333
302;0.592325;0.590869;5.21896
303;0.589202;0.589418;5.24235
304;0.594081;0.591129;5.2046
305;0.595981;0.590691;5.21505
306;0.590421;0.589346;5.23297
307;0.588349;0.589347;5.22219
308;0.586581;0.589626;5.222
309;0.587915;0.591609;5.2267
310;0.588358;0.588721;5.22545
311;0.587739;0.589544;5.22782
312;0.592529;0.588141;5.23495
313;0.589299;0.5917;5.21863
314;0.587681;0.589492;5.215
315;0.592669;0.589728;5.23563
316;0.592344;0.590561;5.22806
317;0.581597;0.588915;5.23083
318;0.592951;0.590642;5.22412
319;0.592212;0.587739;5.20144
320;0.595085;0.590498;5.2268
321;0.588403;0.589713;5.2151
322;0.592623;0.589091;5.22925
323;0.587722;0.589072;5.2368
324;0.586192;0.591255;5.22311
325;0.589732;0.590021;5.21876
326;0.590716;0.589512;5.23687
327;0.585284;0.590125;5.22199
328;0.592217;0.590805;5.21729
329;0.590743;0.589499;5.22832
330;0.58524;0.59066;5.2364
331;0.595547;0.5886;5.23108
332;0.593029;0.591294;5.2283
