Run;Vega_MC;Vega_Antithetic
153;-0.000811749;-0.00975974
154;-0.000852436;-0.0715679
155;0.00253063;-0.00774117
156;-0.113597;-5.74847
157;0.0109852;-0.0131146
158;-0.0651855;-0.0258247
159;-0.00180357;-0.00243563
160;0;0
161;0.0199099;-0.0091925
162;0.000847362;0
163;-0.0158852;-0.000979179
164;0;-0.00684591
165;-0.0100679;-0.00799538
166;-0.249811;-7.63036e-05
167;-0.000485778;-0.00195575
168;-0.0309113;-0.0140104
169;-1.46499;0
170;-0.0020264;-0.0018607
171;-4.48589e-05;-0.168961
172;0.0022527;-0.00478432
173;0.0027369;-0.0321101
174;-0.00035061;0
175;0.0122758;-0.00575138
176;-0.0599584;-0.00219136
177;-0.0312768;0
178;-0.106814;0
179;0.00473234;-0.000182185
180;-0.000245055;-0.000423692
181;-0.0014305;-0.00122862
182;-0.0308224;-0.0500485
183;0.000107361;-0.000119827
184;-0.000561904;-0.00804638
185;0.0283701;-0.0168133
186;0.658415;-0.0114586
187;-0.00335417;-0.0154043
188;0.75822;-0.00568181
189;-0.0460498;-0.00351863
190;-0.0086668;-0.0467516
191;0.000613152;-0.00224295
192;-0.00337592;0
193;-0.00334513;-0.0250712
194;-0.0200199;-0.121431
195;-0.0423291;0
196;-0.00330899;-0.00762184
197;-0.00338064;-0.0272682
198;0.0142969;-0.00644596
199;0.152049;0
200;-0.0537859;-0.00474354
201;-0.012669;-0.00713774
202;-0.00432487;-0.00228847
203;-0.000451191;-0.00332326
204;0.0155321;-0.000120101
205;-0.0107503;0
206;0.0038695;-0.000371908
207;-0.00531982;0
208;0.156653;-0.0435945
209;7.15189e-06;-0.00124823
210;-0.00121692;-0.00339515
211;-0.00845205;-0.00819376
212;-0.00231495;-0.00210037
213;-0.000741576;-0.000935079
214;-0.0145047;-0.000387394
215;-0.000653875;0
216;3.49537;-0.00124789
217;0.0453464;-0.00728543
218;-0.023073;-0.000796281
219;-0.00156574;-0.0218937
220;-0.0117465;-0.00108403
221;0.011753;-0.000272519
222;-0.0435536;-0.0375191
223;-0.00253695;-0.00109079
224;3.10845e-06;-0.00010423
225;-0.0846128;-0.00227111
226;-0.000276013;-0.0248409
227;-0.208769;-0.000158186
228;-0.000241192;0
229;-0.00168434;-0.383868
230;-0.000457308;-0.00131224
231;-0.00712658;-0.0154958
232;0.0928936;0
233;0.0261981;-0.0112454
234;0.00129091;-0.00490504
235;0.000795628;-0.00509469
236;0.000187463;-0.00531891
237;-0.0401127;0
238;-0.00115124;-0.00434141
239;0;-0.00156401
240;-0.00658312;-0.00938333
241;0;-0.00359317
242;0;-0.0249753
243;0.000459339;-0.00199921
244;-0.00169828;0
245;0.110076;-0.0091532
246;-0.0520791;-0.000926476
247;-0.0287;-0.00665994
248;-0.0439922;-0.00275294
249;-0.014197;0
250;0.893436;-0.00234721
251;-0.0164395;-0.00317448
252;6.23659;-0.00323948
253;-0.0724626;-0.0643778
254;0;-0.000580313
255;-0.0077414;-0.0739282
256;0.00352573;-0.00073511
257;-0.00511473;-0.00161119
258;-0.000894713;0
259;-0.0261596;-0.00767337
260;0;0
261;0.00542825;0
262;0.0325764;0
263;-0.00494789;-0.0252373
264;0.00274249;-0.000387133
265;0.00200979;-0.0102503
266;-0.0631556;-0.00757283
267;-0.000419526;-0.00189838
268;-0.0343123;-0.000835638
269;0.0470301;-0.0111376
270;0;-0.0022488
271;-0.000754816;-0.0401294
272;-0.00861458;-9.23881e-05
273;0.000174621;0
274;7.03849e-05;-0.00402988
275;-0.00567168;-0.000629421
276;0.204143;0
277;-0.00305008;-0.0188859
278;-0.000710399;-0.00693442
279;0.214598;-0.000260365
280;0.423191;-0.000512801
281;-0.170864;-0.0321587
282;0.000557678;0
283;-0.0162837;-0.0117578
284;0.0095023;-0.00238979
285;-0.011017;-0.00269952
286;0.0603481;-0.00356597
287;-0.000348553;-0.000320059
288;0;-0.00182549
289;-0.0104333;0
290;0;0
291;-0.0529578;-0.000181854
292;-0.0130313;-0.00552659
293;0.00430838;0
294;0;-0.00594756
295;0.000227418;-0.0207704
296;0.030904;-0.00172509
297;-0.00138678;-0.00171335
298;-4.29994e-05;-0.00110329
299;-0.00666981;-0.000594364
