nSimulations;Vega_Antithetic;Vega_BS;Relative_Error
267000;-0.0188245;37.524;1.0005
268000;-0.0109169;37.524;1.00029
269000;-0.00521451;37.524;1.00014
270000;-0.00734196;37.524;1.0002
271000;-0.0829721;37.524;1.00221
272000;-0.0315274;37.524;1.00084
273000;-0.0806707;37.524;1.00215
274000;-0.00500369;37.524;1.00013
275000;-0.0188091;37.524;1.0005
276000;-0.0225136;37.524;1.0006
277000;-0.0440507;37.524;1.00117
278000;-0.00210483;37.524;1.00006
279000;-0.0280577;37.524;1.00075
280000;-35.5709;37.524;1.94795
281000;-0.0227349;37.524;1.00061
282000;-0.0688404;37.524;1.00183
283000;-0.0190232;37.524;1.00051
284000;-0.019422;37.524;1.00052
285000;-0.911313;37.524;1.02429
286000;-0.00792141;37.524;1.00021
287000;-0.256574;37.524;1.00684
288000;-0.00623965;37.524;1.00017
289000;-0.264147;37.524;1.00704
290000;-0.00623645;37.524;1.00017
291000;-0.347925;37.524;1.00927
292000;-0.0559186;37.524;1.00149
293000;-0.00395375;37.524;1.00011
294000;-0.0185812;37.524;1.0005
295000;-0.0440093;37.524;1.00117
296000;-0.0116521;37.524;1.00031
297000;-0.0428654;37.524;1.00114
298000;-0.0218422;37.524;1.00058
299000;-0.0148666;37.524;1.0004
300000;-0.179243;37.524;1.00478
301000;-0.0373857;37.524;1.001
302000;-0.104166;37.524;1.00278
303000;-0.0906374;37.524;1.00242
304000;-0.00743779;37.524;1.0002
305000;-0.0104977;37.524;1.00028
306000;-0.246134;37.524;1.00656
307000;-0.00666017;37.524;1.00018
308000;-0.474327;37.524;1.01264
309000;-0.0119741;37.524;1.00032
310000;-0.233157;37.524;1.00621
311000;-0.00530116;37.524;1.00014
312000;-0.0384481;37.524;1.00102
313000;-0.0575329;37.524;1.00153
314000;-1.63726;37.524;1.04363
315000;-0.0546408;37.524;1.00146
316000;-0.0944999;37.524;1.00252
317000;-0.0190632;37.524;1.00051
318000;-0.053888;37.524;1.00144
319000;-0.0103285;37.524;1.00028
320000;-0.786271;37.524;1.02095
321000;-0.045224;37.524;1.00121
322000;-0.0859156;37.524;1.00229
323000;-0.0211958;37.524;1.00056
324000;-0.0813863;37.524;1.00217
325000;-0.00742281;37.524;1.0002
326000;-0.00746351;37.524;1.0002
327000;-0.108013;37.524;1.00288
328000;-0.355092;37.524;1.00946
329000;-0.0585402;37.524;1.00156
330000;-0.216137;37.524;1.00576
331000;-0.166523;37.524;1.00444
332000;-0.0676567;37.524;1.0018
333000;-0.564629;37.524;1.01505
334000;-0.0705282;37.524;1.00188
335000;-0.0132699;37.524;1.00035
336000;-0.0127996;37.524;1.00034
337000;-0.0137113;37.524;1.00037
338000;-0.015391;37.524;1.00041
339000;-0.00460626;37.524;1.00012
340000;-0.0557219;37.524;1.00148
341000;-0.0160702;37.524;1.00043
342000;-0.00487455;37.524;1.00013
343000;-0.0296763;37.524;1.00079
344000;-0.246561;37.524;1.00657
345000;-0.0709448;37.524;1.00189
346000;-0.0294747;37.524;1.00079
347000;-0.0246186;37.524;1.00066
348000;-0.00413335;37.524;1.00011
349000;-0.136262;37.524;1.00363
350000;-0.00984003;37.524;1.00026
351000;-0.00554055;37.524;1.00015
352000;-0.015269;37.524;1.00041
353000;-0.0132914;37.524;1.00035
354000;-0.0135237;37.524;1.00036
355000;-0.0498486;37.524;1.00133
356000;-0.0203061;37.524;1.00054
357000;-0.0230398;37.524;1.00061
358000;-0.0596195;37.524;1.00159
359000;-0.0588682;37.524;1.00157
360000;-0.0285838;37.524;1.00076
361000;-1.1717;37.524;1.03123
362000;-0.0172599;37.524;1.00046
363000;-0.0569335;37.524;1.00152
364000;-0.147937;37.524;1.00394
365000;-0.0199744;37.524;1.00053
366000;-0.00742046;37.524;1.0002
367000;-0.1859;37.524;1.00495
368000;-0.143577;37.524;1.00383
369000;-0.0172877;37.524;1.00046
370000;-0.0877139;37.524;1.00234
371000;-0.0415287;37.524;1.00111
372000;-1.95473;37.524;1.05209
373000;-0.0271174;37.524;1.00072
374000;-0.0113209;37.524;1.0003
375000;-0.0378381;37.524;1.00101
376000;-0.0415323;37.524;1.00111
377000;-0.0236842;37.524;1.00063
378000;-0.0213312;37.524;1.00057
379000;-0.0132081;37.524;1.00035
380000;-0.0126404;37.524;1.00034
381000;-1.04675;37.524;1.0279
382000;-0.0451276;37.524;1.0012
383000;-0.149948;37.524;1.004
384000;-0.0121358;37.524;1.00032
385000;-0.0152467;37.524;1.00041
386000;-0.0478575;37.524;1.00128
387000;-6.44456;37.524;1.17174
388000;-0.013927;37.524;1.00037
389000;-0.0295892;37.524;1.00079
390000;-0.0211264;37.524;1.00056
391000;-0.00997519;37.524;1.00027
392000;-14.4141;37.524;1.38413
393000;-0.0327439;37.524;1.00087
394000;-0.00719083;37.524;1.00019
395000;-0.0405413;37.524;1.00108
396000;-0.00762716;37.524;1.0002
397000;-0.0129749;37.524;1.00035
398000;-0.0124335;37.524;1.00033
399000;-0.0202583;37.524;1.00054
400000;-0.00505703;37.524;1.00013
401000;-0.035584;37.524;1.00095
402000;-0.0136058;37.524;1.00036
403000;-0.0592281;37.524;1.00158
404000;-0.0365437;37.524;1.00097
405000;-0.134013;37.524;1.00357
406000;-0.0025212;37.524;1.00007
407000;-0.0344959;37.524;1.00092
408000;-0.00598617;37.524;1.00016
409000;-0.398545;37.524;1.01062
410000;-0.016283;37.524;1.00043
411000;-39.5166;37.524;2.0531
412000;-0.0547142;37.524;1.00146
413000;-0.0676462;37.524;1.0018
414000;-0.0236098;37.524;1.00063
415000;-0.123668;37.524;1.0033
416000;-0.0214431;37.524;1.00057
417000;-0.0448094;37.524;1.00119
418000;-0.0157954;37.524;1.00042
419000;-0.221273;37.524;1.0059
420000;-0.0198014;37.524;1.00053
421000;-0.237771;37.524;1.00634
422000;-0.0216636;37.524;1.00058
423000;-0.0142239;37.524;1.00038
424000;-0.0412936;37.524;1.0011
425000;-1.37225;37.524;1.03657
426000;-0.00909508;37.524;1.00024
427000;-0.0211535;37.524;1.00056
428000;-0.0877646;37.524;1.00234
429000;-0.0207508;37.524;1.00055
430000;-0.0519461;37.524;1.00138
431000;-0.0254246;37.524;1.00068
432000;-2.19639;37.524;1.05853
433000;-0.0272773;37.524;1.00073
434000;-0.0106746;37.524;1.00028
435000;-0.0231203;37.524;1.00062
436000;-0.0517673;37.524;1.00138
437000;-0.159629;37.524;1.00425
438000;-0.0562729;37.524;1.0015
439000;-0.024508;37.524;1.00065
440000;-0.00492358;37.524;1.00013
441000;-0.0372743;37.524;1.00099
442000;-0.0427628;37.524;1.00114
443000;-0.602192;37.524;1.01605
444000;-0.0509044;37.524;1.00136
445000;-0.0478985;37.524;1.00128
446000;-0.0054385;37.524;1.00014
447000;-0.257733;37.524;1.00687
448000;-0.0126095;37.524;1.00034
449000;-0.0153213;37.524;1.00041
450000;-0.0228543;37.524;1.00061
451000;-0.0732509;37.524;1.00195
452000;-0.0467715;37.524;1.00125
453000;-0.0166799;37.524;1.00044
454000;-0.0184817;37.524;1.00049
455000;-0.0166626;37.524;1.00044
456000;-0.0664511;37.524;1.00177
457000;-0.0059025;37.524;1.00016
458000;-0.0747859;37.524;1.00199
459000;-0.130756;37.524;1.00348
460000;-0.0195325;37.524;1.00052
461000;-0.132622;37.524;1.00353
462000;-0.052091;37.524;1.00139
463000;-0.00524736;37.524;1.00014
464000;-0.0529308;37.524;1.00141
465000;-0.066558;37.524;1.00177
466000;-0.0179007;37.524;1.00048
467000;-0.334587;37.524;1.00892
468000;-0.0416992;37.524;1.00111
469000;-0.0222447;37.524;1.00059
470000;-0.0230048;37.524;1.00061
471000;-0.0172765;37.524;1.00046
472000;-0.00822045;37.524;1.00022
473000;-10.1672;37.524;1.27095
474000;-0.115773;37.524;1.00309
475000;-0.048212;37.524;1.00128
476000;-0.0845755;37.524;1.00225
