Run;Gamma_MC;Gamma_Antithetic
484;0.0185066;0.0189081
485;0.0196998;0.0181953
486;0.018349;0.0196448
487;0.0186647;0.0187431
488;0.0179714;0.0189216
489;0.0185093;0.0191832
490;0.0205574;0.0195045
491;0.0177831;0.0194709
492;0.0182828;0.0191905
493;0.0188746;0.0180683
494;0.0178868;0.018289
495;0.0195518;0.0197505
496;0.0186893;0.0186804
497;0.0181746;0.0187672
498;0.0185173;0.0200374
499;0.0196094;0.0187093
